Name	DRR068893	DRR068894	DRR068895	DRR095105	DRR095106	DRR095107	DRR095108	DRR095109	DRR095110	DRR095111	DRR095112	DRR095113	DRR095114	DRR095115	DRR095116
KWMTBOMO00001	2.410625	2.280158	2.692023	0.033361	0.045129	0.022411	0.174280	0.263233	0.305942	0.441906	0.540911	0.508800	0.000000	0.000000	0.000000
KWMTBOMO00002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108400	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00003	4.555213	5.401179	4.122819	0.038119	0.025780	0.000000	1.731123	2.000225	1.624796	0.043360	0.029777	0.059184	0.097449	0.064761	0.000000
KWMTBOMO00004	49.376212	48.510640	44.198988	0.826449	0.620304	0.924144	1.237515	1.716717	1.534268	6.064720	5.663565	5.913134	0.233498	0.775514	0.921915
KWMTBOMO00005	29.181164	26.563783	28.271311	0.732475	0.544494	0.344146	0.776607	0.851387	0.565815	3.335056	3.603389	3.694588	0.186598	0.061984	0.061405
KWMTBOMO00006	6.967257	7.016016	6.092140	0.800022	0.809900	1.072537	0.895848	0.941966	0.938937	1.671510	2.497208	2.584929	1.350611	1.457358	1.332662
KWMTBOMO00007	0.230115	0.284913	0.687423	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.912696	0.850067	1.331178	0.000000	0.000000	0.027764
KWMTBOMO00008	0.283356	0.280822	0.312459	0.195492	0.029107	0.051825	0.000000	0.167007	0.074874	0.000000	0.213215	0.248154	0.000000	0.278937	0.000000
KWMTBOMO00009	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00010	0.411439	0.353183	0.196781	0.413810	0.182703	0.000000	0.181791	0.000000	0.168122	0.101761	0.339381	0.285500	0.156315	0.000000	0.114921
KWMTBOMO00011	0.051467	0.050978	0.000000	0.472197	0.239402	0.237778	2.050152	1.602903	2.092514	0.067168	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00012	0.234188	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.340672	0.000000	0.000000	0.000000	0.000000	0.000000	0.221053
KWMTBOMO00013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.168780	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00016	2.223520	2.611942	2.135698	0.332983	0.259914	0.550724	0.767912	0.672500	0.768546	5.708630	5.921337	6.534564	2.097721	2.381196	2.671794
KWMTBOMO00017	1.123668	0.445193	0.842040	0.000000	0.087081	0.000000	0.000000	0.331565	0.165250	0.000000	0.201368	0.200104	0.000000	0.000000	0.107507
KWMTBOMO00018	176.118415	170.803775	170.625829	0.000000	0.098184	0.097518	0.000000	0.000000	0.000000	0.000000	0.227082	0.451310	0.000000	0.122186	0.121042
KWMTBOMO00019	9.321306	6.594775	8.747007	1.058290	0.635096	0.394241	0.000000	0.226879	0.000000	1.339653	0.642432	1.459214	0.000000	0.000000	0.098104
KWMTBOMO00020	283.886727	297.958191	296.503896	57.581599	67.400392	60.997842	29.452148	37.167511	41.654397	304.995968	277.057573	300.517285	877.288964	862.747126	808.829888
KWMTBOMO00021	18.050162	20.977256	20.664092	4.709282	3.727881	3.702686	0.263144	1.404458	1.049715	7.272321	6.899083	6.427343	28.674995	29.789623	35.410928
KWMTBOMO00022	2.704019	3.155307	2.711926	0.042469	0.000000	0.000000	0.000000	0.055002	0.109665	0.289874	0.331738	0.329675	0.054261	0.000000	0.071444
KWMTBOMO00023	1.457133	1.312071	1.986907	0.000000	0.000000	0.000000	0.000000	0.097533	0.000000	1.560888	0.712135	1.061503	1.153366	0.765753	0.632152
KWMTBOMO00024	0.308204	0.508790	0.461735	0.117936	0.000000	0.000000	0.113318	0.075848	0.000000	0.134363	0.276143	0.182941	0.000000	0.000000	0.098391
KWMTBOMO00025	202.615801	196.627799	192.962401	0.200282	0.270536	0.067175	0.192680	0.193523	0.192910	0.456197	0.312696	0.310739	0.381640	0.337986	0.167412
KWMTBOMO00026	149.703098	143.936906	151.265062	0.000000	0.067975	0.202541	0.000000	0.064831	0.064625	0.000000	0.078569	0.312308	0.000000	0.000000	0.084125
KWMTBOMO00027	0.559724	0.970207	0.839811	0.160763	0.108435	0.323099	0.153965	0.102963	0.102625	0.183258	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00028	30.662894	29.254723	27.370994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.107852
KWMTBOMO00029	290.913145	286.318612	292.201603	0.000000	0.089392	0.088785	0.000000	0.085070	0.000000	0.000000	0.000000	0.102710	0.000000	0.668216	0.110327
KWMTBOMO00030	0.000000	0.578305	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00031	0.208869	0.206880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.374355	0.372006	0.000000	0.000000	0.000000
KWMTBOMO00032	0.720357	1.514762	0.000000	0.128918	0.575884	0.530255	0.358333	0.641656	0.727819	0.000000	1.088716	0.000000	0.503102	0.885538	0.642033
KWMTBOMO00033	0.080770	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00034	0.096134	0.000000	0.047932	0.036759	0.000000	0.000000	0.283440	0.000000	0.000000	0.041842	0.000000	0.057050	0.000000	0.000000	0.000000
KWMTBOMO00035	0.097485	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.317777	0.000000	0.000000	0.000000	0.000000	0.141677	0.000000	0.149603
KWMTBOMO00036	0.079659	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
