	RCC4-EV	RCC4-VHL
A1BG	3.92445155170309	0.697106363218438
A1BG-AS1	0	0
A1CF	0	0
A2M	0	0
A2M-AS1	0.601678863865482	0
A2ML1	0	0
A2ML1-AS1	8.70108134746648	0
A2ML1-AS2	0	0
A2MP1	0	0
A3GALT2	1.42989764505554	7.21262476602968
A4GALT	102.091561825276	117.804609985991
A4GNT	0	0
AAAS	765.12055758634	546.694487791535
AACS	278.445565977444	188.751715325803
AACSP1	1.37560631568988	4.56879294806594
AADAC	0	0
AADACL2	0	0
AADACL2-AS1	0	0
AADACL3	0	0
AADACL4	0	0
AADACP1	0	0
AADAT	340.408358964415	180.039620070636
AAGAB	357.485935823633	730.866280251941
AAK1	1037.51162346659	784.740073348499
AAMDC	471.897929934391	231.98509781543
AAMP	1872.31019225024	1891.27517746794
AANAT	0	0
AAR2	680.213121533175	449.768878510846
AARD	0.573535695271722	0.578736643114831
AARS	1496.21284782552	2207.61904535505
AARS2	134.843876402803	106.617404074038
AARSD1	448.78342066822	433.799524471861
AARSP1	0	0
AASDH	77.8668016527303	51.2335632552639
AASDHPPT	664.995666724247	727.101947818333
AASS	75.1210123435847	42.9754123509498
AATBC	0	0
AATF	2385.32680228273	1592.84247209054
AATK	0	0
ABALON	23.8757693867769	5.6717220161445
ABAT	18.022920031658	72.9240187895091
ABCA1	77.3739572446999	54.6030123205669
ABCA10	3.3872714844083	0.411825999310712
ABCA11P	26.2412094862352	31.0549278444543
ABCA12	17.4343539861944	65.6776993422456
ABCA13	1.42662428270706	0.56909325583864
ABCA17P	130.906660674842	3.54647954832393
ABCA2	223.72139739047	327.276324475503
ABCA3	561.615426691091	343.80080219943
ABCA4	0	1.31394010349751
ABCA5	96.2089035668773	18.1863420924726
ABCA6	0	0
ABCA7	21.8599786193589	47.1072607534007
ABCA8	0.81843743216057	0
ABCA9	0	0.207046955273801
ABCA9-AS1	0	0
ABCB1	446.435877532134	675.844619140275
ABCB10	166.279970043104	145.581014853471
ABCB10P1	0	0
ABCB10P3	0	0
ABCB10P4	0	0
ABCB11	1.4064805144087	1.44808991187125
ABCB4	0.6265099320948	0.347848032737244
ABCB5	1.17141823357328	9.62981792492531
ABCB6	351.592915145965	197.625080033798
ABCB7	395.031866816921	226.33264351576
ABCB8	223.020646050791	302.572196068982
ABCB9	36.9150824034059	21.8164294273196
ABCC1	290.057770486166	406.625107102193
ABCC10	116.126790494179	99.3732763057009
ABCC11	0.354317262963278	2.85646278998048
ABCC12	0	0.432351548908455
ABCC13	0	0
ABCC2	91.0791767556533	638.302188267112
ABCC3	1345.47232297999	1873.02655357781
ABCC4	411.823208476222	717.051556236468
ABCC5	223.01758574753	422.78317422578
ABCC5-AS1	0	0
ABCC6	15.3790117044829	74.7474003658917
ABCC6P1	0	11.9251346774351
ABCC6P2	0	0
ABCC8	0	0
ABCC9	12.8715967765372	76.5239181294044
ABCD1	35.7452524284869	50.599119851263
ABCD1P2	0	0
ABCD1P3	0	0
ABCD1P4	0	0
ABCD1P5	0	0
ABCD2	0	0
ABCD3	243.838165291702	305.012983127973
ABCD4	286.2101170511	230.083616236956
ABCE1	931.87224044977	855.581863751378
ABCF1	1365.08631017209	1160.65244038992
ABCF2	1045.78232545676	1362.70274887307
ABCF2P1	0	0
ABCF2P2	0	0
ABCF3	495.180077964621	481.006497087374
ABCG1	0.822408078796303	2.22293417370547
ABCG2	0	0
ABCG4	0	0
ABCG5	0	0
ABCG8	0	0
ABHD1	0	0
ABHD10	488.95019150018	582.506216519786
ABHD11	368.901060676167	279.866078404085
ABHD11-AS1	33.100278805873	2.50796678260412
ABHD12	1672.43332203668	1415.2278780487
ABHD12B	2.9303178481633	2.95514551590166
ABHD13	87.6610504415341	103.009786212706
ABHD14A	316.904648851911	232.272798555195
ABHD14A-ACY1	6.38764703443232	9.0339861861845
ABHD14B	1055.58439932479	852.079084375039
ABHD15	113.337130381961	79.0018684397556
ABHD15-AS1	0	0
ABHD16A	325.780128747222	238.165403690966
ABHD16B	0	0.93014853636719
ABHD17A	654.321716331044	573.568149638267
ABHD17AP1	0	0
ABHD17AP3	0	0
